Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
LP000001,48900,0,Employed,26,Divorced,2,644,2,0.381,11100,0,90000,360,Business,Urban,Postgraduate,Male,Government,N
LP000002,33400,0,Employed,52,Married,1,582,1,0.316,4400,147600,123000,360,Home Improvement,Urban,Postgraduate,Male,Private Sector,N
LP000003,53600,21200,Self-Employed,61,Married,3,503,1,0.399,6500,0,172000,180,Education,Urban,Graduate,Male,Government,N
LP000004,90600,35300,Employed,63,Married,0,661,0,0.455,14600,598800,499000,240,Home Purchase,Rural,High School,Male,Private Sector,N
LP000005,31600,0,Employed,59,Single,0,690,3,0.426,16100,170400,142000,180,Home Purchase,Rural,Postgraduate,Male,Private Sector,Y
LP000006,31600,19100,Business Owner,51,Married,1,675,0,0.367,70200,105600,88000,240,Business,Rural,Graduate,Male,Government,N
LP000007,93700,0,Employed,62,Married,0,668,1,0.321,15900,219200,274000,240,Home Improvement,Rural,Graduate,Male,Private Sector,N
LP000008,57600,25200,Employed,30,Married,3,683,1,0.222,39100,387600,323000,120,Education,Urban,Graduate,Female,Private Sector,Y
LP000009,27400,20100,Business Owner,50,Married,0,761,1,0.394,12000,368000,184000,360,Home Purchase,Urban,Graduate,Female,Government,Y
LP000010,50300,12400,Employed,38,Single,1,664,1,0.488,11500,0,237000,120,Debt Consolidation,Urban,Graduate,Female,Self-Employed,N
LP000011,27500,15400,Employed,44,Married,1,634,0,0.354,4900,130800,109000,360,Debt Consolidation,Rural,Graduate,Female,Private Sector,N
LP000012,27500,12100,Employed,29,Married,2,657,1,0.512,8100,0,113000,240,Home Purchase,Semiurban,Graduate,Female,Private Sector,N
LP000013,42000,0,Employed,51,Married,0,726,2,0.167,24600,0,138000,360,Debt Consolidation,Urban,Graduate,Female,Private Sector,Y
LP000014,11500,18200,Employed,35,Married,0,792,2,0.205,17700,157200,131000,240,Home Improvement,Urban,Postgraduate,Female,PSU,Y
LP000015,12900,0,Business Owner,24,Divorced,2,629,0,0.406,29800,0,32000,360,Home Purchase,Semiurban,Graduate,Male,MNC,N
LP000016,25900,17500,Employed,60,Married,0,687,2,0.346,17700,0,185000,360,Home Purchase,Semiurban,Postgraduate,Male,Government,Y
LP000017,19800,12700,Employed,29,Divorced,2,707,1,0.451,11900,0,75000,360,Home Improvement,Rural,Graduate,Female,Self-Employed,Y
